Frequency/Delayed_Insertion_Sketch/demo on 薰 master [$!?竍｡] took 6m55s
笶ｯ ./repeat_element_step.sh
Element Count: 10000
====================
amari:31070
Sliding Sketch,Arrivals,ARE
Sl-CM,0,-nan
Sl-CM,50000,2e-05
Sl-CM,100000,0.0229318
Sl-CM,150000,0.0312807
Sl-CM,200000,0.0353779
Sl-CM,250000,0.0385752
Sl-CM,300000,0.0409415
Sl-CM,350000,0.0429567
Sl-CM,400000,0.0440459
Sl-CM,450000,0.0450508
Sl-CM,500000,0.0461029
Sl-CM,550000,0.047037
Sl-CM,600000,0.0477099
Sl-CM,650000,0.0485704
Sl-CM,700000,0.049273
Sl-CM,750000,0.0498686
Sl-CM,800000,0.0504289
Sl-CM,850000,0.0509761
Sl-CM,900000,0.0514245
Sl-CM,950000,0.0520851
Sl-CM,1000000,0.0526713
Sl-CM,1050000,0.0529846
Sl-CM,1100000,0.0534813
Sl-CM,1150000,0.0540081
Sl-CM,1200000,0.0545955
Sl-CM,1250000,0.0552337
Sl-CM,1300000,0.0558393
Sl-CM,1350000,0.0562892
Sl-CM,1400000,0.056685
Sl-CM,1450000,0.0570382
Sl-CM,1500000,0.0574926
Sl-CM,1550000,0.0578351
Sl-CM,1600000,0.058207
Sl-CM,1650000,0.0585092
Sl-CM,1700000,0.0587434
Sl-CM,1750000,0.0589928
Sl-CM,1800000,0.059236
Sl-CM,1850000,0.0594129
Sl-CM,1900000,0.0596556
Sl-CM,1950000,0.0598635
Sl-CM,2000000,0.0600658
Sl-CM,2050000,0.0604483
Sl-CM,2100000,0.0606842
Sl-CM,2150000,0.0609482
Sl-CM,2200000,0.0612203
Sl-CM,2250000,0.0615359
Sl-CM,2300000,0.0617943
Sl-CM,2350000,0.0620361
Sl-CM,2400000,0.0622715
Sl-CM,2450000,0.062555
Sl-CM,2500000,0.0626913
Sl-CM,2550000,0.0630578
Sl-CM,2600000,0.0633104
Sl-CM,2650000,0.0636156
Sl-CM,2700000,0.0639536
Sl-CM,2750000,0.0643426
Sl-CM,2800000,0.064601
Sl-CM,2850000,0.0648785
Sl-CM,2900000,0.0652279
Sl-CM,2950000,0.0655428
Sl-CM,3000000,0.0658864
Sl-CM,3050000,0.0661399
Sl-CM,3100000,0.0664206
Sl-CM,3150000,0.0666626
Sl-CM,3200000,0.0668451
Sl-CM,3250000,0.0670668
Sl-CM,3300000,0.0673214
Sl-CM,3350000,0.0675838
Sl-CM,3400000,0.0678725
Sl-CM,3450000,0.068126
Sl-CM,3500000,0.0683868
Sl-CM,3550000,0.0686273
Sl-CM,3600000,0.0688873
Sl-CM,3650000,0.0690381
Sl-CM,3700000,0.0692662
Sl-CM,3750000,0.0694684
Sl-CM,3800000,0.0697059
Sl-CM,3850000,0.0699342
Sl-CM,3900000,0.070125
Sl-CM,3950000,0.0703342
Sl-CM,4000000,0.0705411
Sl-CM,4050000,0.0707058
Sl-CM,4100000,0.0709399
Sl-CM,4150000,0.0712107
Sl-CM,4200000,0.0714672
Sl-CM,4250000,0.0716464
Sl-CM,4300000,0.0719131
Sl-CM,4350000,0.0721842
Sl-CM,4400000,0.0723873
Sl-CM,4450000,0.0726447
Sl-CM,4500000,0.0728851
Sl-CM,4550000,0.0731016
Sl-CM,4600000,0.0733641
Sl-CM,4650000,0.0735873
Sl-CM,4700000,0.0738309
Sl-CM,4750000,0.0739891
Sl-CM,4800000,0.074168
Sl-CM,4850000,0.0744063
Sl-CM,4900000,0.0746538
Sl-CM,4950000,0.0749145
Sl-CM,5000000,0.075245
ARE,5000001,0.075245
date: 2025-01-17 17:36:20
DATA_LEN:4
input_num_max:5000000
Cycle:50000
Memory:1
Hash:10
Row Length:13107
element_count_step:10000
Overestimation:1432697
Underestimation:337485
Element Count: 20000
====================
amari:31070
Sliding Sketch,Arrivals,ARE
Sl-CM,0,-nan
Sl-CM,50000,2e-05
Sl-CM,100000,0.0317517
Sl-CM,150000,0.0398492
Sl-CM,200000,0.0439138
Sl-CM,250000,0.0473391
Sl-CM,300000,0.0496893
Sl-CM,350000,0.0515766
Sl-CM,400000,0.0526813
Sl-CM,450000,0.0535361
Sl-CM,500000,0.0545559
Sl-CM,550000,0.0553905
Sl-CM,600000,0.0557659
Sl-CM,650000,0.0563265
Sl-CM,700000,0.0569668
Sl-CM,750000,0.0573986
Sl-CM,800000,0.0579068
Sl-CM,850000,0.0583589
Sl-CM,900000,0.0586471
Sl-CM,950000,0.0591803
Sl-CM,1000000,0.0595674
Sl-CM,1050000,0.0596378
Sl-CM,1100000,0.0601186
Sl-CM,1150000,0.0605463
Sl-CM,1200000,0.0609629
Sl-CM,1250000,0.0614166
Sl-CM,1300000,0.0617967
Sl-CM,1350000,0.062079
Sl-CM,1400000,0.0622908
Sl-CM,1450000,0.0625805
Sl-CM,1500000,0.0628665
Sl-CM,1550000,0.0631107
Sl-CM,1600000,0.0633591
Sl-CM,1650000,0.0636053
Sl-CM,1700000,0.0637096
Sl-CM,1750000,0.0638876
Sl-CM,1800000,0.0640258
Sl-CM,1850000,0.0641124
Sl-CM,1900000,0.0642487
Sl-CM,1950000,0.064389
Sl-CM,2000000,0.0645002
Sl-CM,2050000,0.0647283
Sl-CM,2100000,0.0649086
Sl-CM,2150000,0.0650402
Sl-CM,2200000,0.0651969
Sl-CM,2250000,0.0654129
Sl-CM,2300000,0.0655322
Sl-CM,2350000,0.0656764
Sl-CM,2400000,0.0658068
Sl-CM,2450000,0.0659867
Sl-CM,2500000,0.0659912
Sl-CM,2550000,0.0662514
Sl-CM,2600000,0.0663789
Sl-CM,2650000,0.0665563
Sl-CM,2700000,0.0667433
Sl-CM,2750000,0.0669768
Sl-CM,2800000,0.0670992
Sl-CM,2850000,0.0672833
Sl-CM,2900000,0.067486
Sl-CM,2950000,0.0676766
Sl-CM,3000000,0.0679175
Sl-CM,3050000,0.0680563
Sl-CM,3100000,0.0682221
Sl-CM,3150000,0.0683758
Sl-CM,3200000,0.0684745
Sl-CM,3250000,0.0686157
Sl-CM,3300000,0.0687658
Sl-CM,3350000,0.0689248
Sl-CM,3400000,0.0690983
Sl-CM,3450000,0.0692471
Sl-CM,3500000,0.0693986
Sl-CM,3550000,0.0695361
Sl-CM,3600000,0.0696737
Sl-CM,3650000,0.0697654
Sl-CM,3700000,0.0698858
Sl-CM,3750000,0.0699923
Sl-CM,3800000,0.0701179
Sl-CM,3850000,0.0702827
Sl-CM,3900000,0.0703755
Sl-CM,3950000,0.0704978
Sl-CM,4000000,0.0706185
Sl-CM,4050000,0.0707059
Sl-CM,4100000,0.0708175
Sl-CM,4150000,0.070988
Sl-CM,4200000,0.0711216
Sl-CM,4250000,0.0711998
Sl-CM,4300000,0.0713312
Sl-CM,4350000,0.0714721
Sl-CM,4400000,0.0715693
Sl-CM,4450000,0.0717341
Sl-CM,4500000,0.0718707
Sl-CM,4550000,0.0719923
Sl-CM,4600000,0.0721447
Sl-CM,4650000,0.0723014
Sl-CM,4700000,0.0724138
Sl-CM,4750000,0.0724965
Sl-CM,4800000,0.0726053
Sl-CM,4850000,0.0727552
Sl-CM,4900000,0.0728888
Sl-CM,4950000,0.0730338
Sl-CM,5000000,0.073223
ARE,5000001,0.073223
date: 2025-01-17 17:38:22
DATA_LEN:4
input_num_max:5000000
Cycle:50000
Memory:1
Hash:10
Row Length:13107
element_count_step:20000
Overestimation:1265388
Underestimation:700714
Element Count: 30000
====================
amari:31070
Sliding Sketch,Arrivals,ARE
Sl-CM,0,-nan
Sl-CM,50000,0
Sl-CM,100000,0.0422438
Sl-CM,150000,0.0497522
Sl-CM,200000,0.0551815
Sl-CM,250000,0.0596533
Sl-CM,300000,0.06149
Sl-CM,350000,0.0636417
Sl-CM,400000,0.0648404
Sl-CM,450000,0.0654621
Sl-CM,500000,0.0667423
Sl-CM,550000,0.0680483
Sl-CM,600000,0.068212
Sl-CM,650000,0.0690422
Sl-CM,700000,0.0698428
Sl-CM,750000,0.0700658
Sl-CM,800000,0.0706284
Sl-CM,850000,0.0711744
Sl-CM,900000,0.0711062
Sl-CM,950000,0.0716273
Sl-CM,1000000,0.0720922
Sl-CM,1050000,0.0719001
Sl-CM,1100000,0.0723727
Sl-CM,1150000,0.072766
Sl-CM,1200000,0.0728958
Sl-CM,1250000,0.073298
Sl-CM,1300000,0.0737732
Sl-CM,1350000,0.0738439
Sl-CM,1400000,0.0740968
Sl-CM,1450000,0.0743932
Sl-CM,1500000,0.0744439
Sl-CM,1550000,0.0746552
Sl-CM,1600000,0.0749286
Sl-CM,1650000,0.0749551
Sl-CM,1700000,0.075083
Sl-CM,1750000,0.0752514
Sl-CM,1800000,0.075351
Sl-CM,1850000,0.0755624
Sl-CM,1900000,0.075773
Sl-CM,1950000,0.0757769
Sl-CM,2000000,0.0759064
Sl-CM,2050000,0.07614
Sl-CM,2100000,0.0761328
Sl-CM,2150000,0.0762404
Sl-CM,2200000,0.0763806
Sl-CM,2250000,0.0763917
Sl-CM,2300000,0.0765233
Sl-CM,2350000,0.0766503
Sl-CM,2400000,0.0766852
Sl-CM,2450000,0.0768252
Sl-CM,2500000,0.0768167
Sl-CM,2550000,0.0768833
Sl-CM,2600000,0.0770334
Sl-CM,2650000,0.0772044
Sl-CM,2700000,0.0772669
Sl-CM,2750000,0.0774834
Sl-CM,2800000,0.0775922
Sl-CM,2850000,0.0776097
Sl-CM,2900000,0.0778067
Sl-CM,2950000,0.0779784
Sl-CM,3000000,0.0780846
Sl-CM,3050000,0.0781927
Sl-CM,3100000,0.0783732
Sl-CM,3150000,0.0783712
Sl-CM,3200000,0.0784847
Sl-CM,3250000,0.0786336
Sl-CM,3300000,0.0786824
Sl-CM,3350000,0.0788425
Sl-CM,3400000,0.0790037
Sl-CM,3450000,0.0790576
Sl-CM,3500000,0.0791976
Sl-CM,3550000,0.0793155
Sl-CM,3600000,0.0793519
Sl-CM,3650000,0.0794091
Sl-CM,3700000,0.0795151
Sl-CM,3750000,0.0795045
Sl-CM,3800000,0.0795966
Sl-CM,3850000,0.0797248
Sl-CM,3900000,0.0797241
Sl-CM,3950000,0.0798204
Sl-CM,4000000,0.0799274
Sl-CM,4050000,0.0799017
Sl-CM,4100000,0.0800068
Sl-CM,4150000,0.0801405
Sl-CM,4200000,0.0801645
Sl-CM,4250000,0.0802089
Sl-CM,4300000,0.080348
Sl-CM,4350000,0.0803484
Sl-CM,4400000,0.0804073
Sl-CM,4450000,0.0805239
Sl-CM,4500000,0.0805555
Sl-CM,4550000,0.0806456
Sl-CM,4600000,0.080805
Sl-CM,4650000,0.0808192
Sl-CM,4700000,0.0809051
Sl-CM,4750000,0.0809471
Sl-CM,4800000,0.0809303
Sl-CM,4850000,0.0810232
Sl-CM,4900000,0.0811441
Sl-CM,4950000,0.0811572
Sl-CM,5000000,0.0813124
ARE,5000001,0.0813124
date: 2025-01-17 17:40:21
